sigma_over_R,M,viscous01,ignited01,direct01,screen01,nt
0.01930,8.571946e-01,1,1,0,0,36
0.02992,6.240178e-02,0,1,0,0,36
0.02992,1.195030e+00,1,1,0,0,36
0.03491,7.161686e-01,1,1,0,0,36
0.08727,9.706625e-03,0,0,0,1,36
0.02094,3.234717e+00,1,1,1,1,144
0.01496,1.750188e+00,0,1,1,1,36
0.01496,1.258469e+01,1,1,1,1,36
0.01995,2.824016e+01,1,1,1,1,36
0.02493,1.326863e+00,0,1,1,1,36
0.02493,1.116329e+00,1,1,1,1,36
0.02992,2.953716e-01,1,0,1,1,36
0.03808,1.412350e-01,0,0,1,1,36
0.03808,1.122855e-01,1,0,1,1,36
0.03117,1.337900e-01,1,0,1,1,36
0.02992,3.602800e-02,0,1,0,1,36
0.02992,1.198238e-01,0,0,0,1,36
0.02992,1.642617e-01,0,1,0,1,36
0.02992,4.324737e-02,0,0,0,1,36
0.02992,8.011619e-02,0,1,0,1,36
0.02909,3.812878e-02,0,1,0,1,36
0.02909,2.252935e-02,0,1,0,1,72
0.01995,2.870321e-01,0,1,0,1,36
0.04987,3.363944e-02,0,0,0,1,36
