bin_lo,bin_hi,count,frac
0.0000,0.0250,0,0.000000e+00
0.0250,0.0500,0,0.000000e+00
0.0500,0.0750,0,0.000000e+00
0.0750,0.1000,0,0.000000e+00
0.1000,0.1250,2,9.132028e-07
0.1250,0.1500,42,1.917726e-05
0.1500,0.1750,86,3.926772e-05
0.1750,0.2000,153,6.986002e-05
0.2000,0.2250,379,1.730519e-04
0.2250,0.2500,389,1.776179e-04
0.2500,0.2750,508,2.319535e-04
0.2750,0.3000,693,3.164248e-04
0.3000,0.3250,812,3.707603e-04
0.3250,0.3500,951,4.342279e-04
0.3500,0.3750,1293,5.903856e-04
0.3750,0.4000,1337,6.104761e-04
0.4000,0.4250,1549,7.072756e-04
0.4250,0.4500,1738,7.935732e-04
0.4500,0.4750,1816,8.291882e-04
0.4750,0.5000,1960,8.949388e-04
0.5000,0.5250,2023,9.237046e-04
0.5250,0.5500,2413,1.101779e-03
0.5500,0.5750,2570,1.173466e-03
0.5750,0.6000,2580,1.178032e-03
0.6000,0.6250,2912,1.329623e-03
0.6250,0.6500,3185,1.454275e-03
0.6500,0.6750,3199,1.460668e-03
0.6750,0.7000,3927,1.793074e-03
0.7000,0.7250,4498,2.053793e-03
0.7250,0.7500,5254,2.398984e-03
0.7500,0.7750,6618,3.021788e-03
0.7750,0.8000,10847,4.952755e-03
0.8000,0.8250,17134,7.823408e-03
0.8250,0.8500,22241,1.015527e-02
0.8500,0.8750,31928,1.457837e-02
0.8750,0.9000,62894,2.871749e-02
0.9000,0.9250,126460,5.774181e-02
0.9250,0.9500,166726,7.612733e-02
0.9500,0.9750,169190,7.725239e-02
0.9750,1.0000,185169,8.454843e-02
1.0000,1.0250,286892,1.309953e-01
1.0250,1.0500,351959,1.607050e-01
1.0500,1.0750,312240,1.425692e-01
1.0750,1.1000,156657,7.152981e-02
1.1000,1.1250,91352,4.171145e-02
1.1250,1.1500,45948,2.097992e-02
1.1500,1.1750,28745,1.312501e-02
1.1750,1.2000,18375,8.390051e-03
1.2000,1.2250,12207,5.573733e-03
1.2250,1.2500,8944,4.083843e-03
1.2500,1.2750,6923,3.161052e-03
1.2750,1.3000,5336,2.436425e-03
1.3000,1.3250,4557,2.080733e-03
1.3250,1.3500,3486,1.591713e-03
1.3500,1.3750,2816,1.285790e-03
1.3750,1.4000,2292,1.046530e-03
1.4000,1.4250,1994,9.104632e-04
1.4250,1.4500,1536,7.013398e-04
1.4500,1.4750,1297,5.922120e-04
1.4750,1.5000,1062,4.849107e-04
