step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
0,0.00000000,nan,0.000000e+00,-
1,0.00030864,nan,0.000000e+00,-
2,0.00061728,1.000000e+00,5.655739e+00,-
3,0.00092593,9.997756e-01,5.648315e+00,-
4,0.00123457,9.987333e-01,5.646415e+00,-
5,0.00154321,9.972812e-01,6.171004e+00,-
6,0.00185185,9.956497e-01,6.565810e+00,-
7,0.00216049,9.936574e-01,6.764674e+00,-
8,0.00246914,9.915260e-01,6.865636e+00,-
9,0.00277778,9.900187e-01,6.899027e+00,-
10,0.00308642,9.888861e-01,6.905858e+00,-
11,0.00339506,9.865900e-01,6.911126e+00,-
12,0.00370370,9.853513e-01,6.900566e+00,-
13,0.00401235,9.846149e-01,6.881010e+00,-
14,0.00432099,9.826725e-01,6.891774e+00,-
15,0.00462963,9.812003e-01,6.909620e+00,-
16,0.00493827,9.799324e-01,6.938120e+00,-
17,0.00524691,9.789181e-01,6.972709e+00,-
18,0.00555556,9.783490e-01,7.008842e+00,-
19,0.00586420,9.777819e-01,7.067640e+00,-
20,0.00617284,9.771826e-01,7.120062e+00,-
21,0.00648148,9.731226e-01,7.162920e+00,-
22,0.00679012,9.684713e-01,7.219289e+00,-
23,0.00709877,9.639212e-01,7.283473e+00,-
24,0.00740741,9.596094e-01,7.337601e+00,-
25,0.00771605,9.556784e-01,7.381039e+00,-
26,0.00802469,9.518842e-01,7.449775e+00,-
27,0.00833333,9.478189e-01,7.514624e+00,-
28,0.00864198,9.442657e-01,7.567861e+00,-
29,0.00895062,9.412946e-01,7.609055e+00,-
30,0.00925926,9.389218e-01,7.629384e+00,-
31,0.00956790,9.365477e-01,7.674461e+00,-
32,0.00987654,9.340923e-01,7.983799e+00,-
33,0.01018519,9.322103e-01,7.955690e+00,-
34,0.01049383,9.309377e-01,7.905035e+00,-
35,0.01080247,9.302641e-01,7.822090e+00,-
36,0.01111111,9.290404e-01,7.800448e+00,-
37,0.01141975,9.283711e-01,7.797568e+00,-
