step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
0,0.00000000,nan,0.000000e+00,-
1,0.00030864,nan,0.000000e+00,-
2,0.00061728,1.000000e+00,5.655739e+00,-
3,0.00092593,1.000000e+00,5.644378e+00,-
4,0.00123457,9.994313e-01,5.638553e+00,-
5,0.00154321,9.983288e-01,6.170882e+00,-
6,0.00185185,9.970479e-01,6.565534e+00,-
7,0.00216049,9.954049e-01,6.764175e+00,-
8,0.00246914,9.936254e-01,6.864914e+00,-
9,0.00277778,9.924717e-01,6.898126e+00,-
10,0.00308642,9.908798e-01,6.899797e+00,-
11,0.00339506,9.889535e-01,6.904834e+00,-
12,0.00370370,9.880222e-01,6.889028e+00,-
13,0.00401235,9.867790e-01,6.869300e+00,-
14,0.00432099,9.851649e-01,6.874667e+00,-
15,0.00462963,9.836895e-01,6.887064e+00,-
16,0.00493827,9.827836e-01,6.910035e+00,-
17,0.00524691,9.817787e-01,6.939019e+00,-
18,0.00555556,9.813573e-01,6.974220e+00,-
19,0.00586420,9.810122e-01,7.026777e+00,-
20,0.00617284,9.798059e-01,7.072864e+00,-
21,0.00648148,9.757152e-01,7.109374e+00,-
22,0.00679012,9.714368e-01,7.164552e+00,-
23,0.00709877,9.672521e-01,7.221948e+00,-
24,0.00740741,9.633342e-01,7.268489e+00,-
25,0.00771605,9.598164e-01,7.304127e+00,-
26,0.00802469,9.559764e-01,7.370610e+00,-
27,0.00833333,9.522998e-01,7.427588e+00,-
28,0.00864198,9.491180e-01,7.474090e+00,-
29,0.00895062,9.465143e-01,7.509122e+00,-
30,0.00925926,9.444877e-01,7.524805e+00,-
31,0.00956790,9.419768e-01,7.571066e+00,-
32,0.00987654,9.398493e-01,7.908688e+00,-
33,0.01018519,9.383075e-01,7.875698e+00,-
34,0.01049383,9.373923e-01,7.815311e+00,-
35,0.01080247,9.365988e-01,7.718762e+00,-
36,0.01111111,9.356847e-01,7.696938e+00,-
37,0.01141975,9.353258e-01,7.692440e+00,-
