step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
0,0.00000000,nan,0.000000e+00,-
1,0.00030864,nan,0.000000e+00,-
2,0.00061728,nan,0.000000e+00,-
3,0.00092593,1.000000e+00,7.609956e+00,-
4,0.00123457,9.993269e-01,7.600116e+00,-
5,0.00154321,9.984025e-01,7.605140e+00,-
6,0.00185185,9.967697e-01,8.676535e+00,-
7,0.00216049,9.943496e-01,9.585479e+00,-
8,0.00246914,9.915099e-01,1.094225e+01,-
9,0.00277778,9.875138e-01,1.205707e+01,-
10,0.00308642,9.850635e-01,1.324445e+01,-
11,0.00339506,9.809510e-01,1.441446e+01,-
12,0.00370370,9.764718e-01,1.438601e+01,-
13,0.00401235,9.719097e-01,1.437690e+01,-
14,0.00432099,9.673889e-01,1.441607e+01,-
15,0.00462963,9.631442e-01,1.445692e+01,-
16,0.00493827,9.594221e-01,1.445941e+01,-
17,0.00524691,9.569258e-01,1.562847e+01,-
18,0.00555556,9.560425e-01,1.703129e+01,-
19,0.00586420,9.561545e-01,1.857478e+01,-
20,0.00617284,9.567388e-01,2.026072e+01,-
21,0.00648148,9.561839e-01,2.208292e+01,-
22,0.00679012,9.522175e-01,2.198759e+01,-
23,0.00709877,9.459074e-01,2.191686e+01,-
24,0.00740741,9.416410e-01,2.186897e+01,-
25,0.00771605,9.323749e-01,2.298401e+01,-
26,0.00802469,9.237348e-01,2.479146e+01,-
27,0.00833333,9.159225e-01,2.664591e+01,-
28,0.00864198,9.083554e-01,2.850864e+01,-
29,0.00895062,9.021971e-01,3.036183e+01,-
30,0.00925926,8.995569e-01,3.225162e+01,-
31,0.00956790,9.018098e-01,3.402988e+01,-
32,0.00987654,9.037544e-01,3.446634e+01,-
33,0.01018519,9.048164e-01,3.463850e+01,-
34,0.01049383,9.052189e-01,3.438344e+01,-
35,0.01080247,9.037489e-01,3.397798e+01,-
36,0.01111111,8.989834e-01,3.385387e+01,-
37,0.01141975,8.922334e-01,3.436205e+01,-
