step,time,min_sigma_ratio,max_gamma_over_sigma2,max_dtZ
0,0.00000000,nan,0.000000e+00,-
1,0.00030864,nan,0.000000e+00,-
2,0.00061728,1.000000e+00,5.970486e+00,-
3,0.00092593,9.994998e-01,6.529472e+00,-
4,0.00123457,9.975412e-01,9.850671e+00,-
5,0.00154321,9.947973e-01,1.242220e+01,-
6,0.00185185,9.918619e-01,1.456393e+01,-
7,0.00216049,9.891566e-01,1.660940e+01,-
8,0.00246914,9.868803e-01,1.867755e+01,-
9,0.00277778,9.796314e-01,1.891168e+01,-
10,0.00308642,9.746138e-01,1.867167e+01,-
11,0.00339506,9.698317e-01,1.818091e+01,-
12,0.00370370,9.654059e-01,1.814866e+01,-
13,0.00401235,9.618034e-01,1.972189e+01,-
14,0.00432099,9.600080e-01,2.142522e+01,-
15,0.00462963,9.591856e-01,2.328550e+01,-
16,0.00493827,9.592988e-01,2.531888e+01,-
17,0.00524691,9.600733e-01,2.753530e+01,-
18,0.00555556,9.612532e-01,2.841704e+01,-
19,0.00586420,9.626891e-01,2.801800e+01,-
20,0.00617284,9.642508e-01,2.746088e+01,-
21,0.00648148,9.619502e-01,2.847663e+01,-
22,0.00679012,9.519121e-01,3.066416e+01,-
23,0.00709877,9.428960e-01,3.292185e+01,-
24,0.00740741,9.357842e-01,3.521765e+01,-
25,0.00771605,9.304084e-01,3.752874e+01,-
26,0.00802469,9.268480e-01,3.862446e+01,-
27,0.00833333,9.240062e-01,3.740151e+01,-
28,0.00864198,9.219152e-01,3.715370e+01,-
29,0.00895062,9.126107e-01,3.727000e+01,-
30,0.00925926,9.031537e-01,3.908034e+01,-
31,0.00956790,8.939139e-01,4.084334e+01,-
32,0.00987654,8.859504e-01,4.257753e+01,-
33,0.01018519,8.815336e-01,4.422661e+01,-
34,0.01049383,8.835409e-01,4.599684e+01,-
35,0.01080247,8.889400e-01,4.730391e+01,-
36,0.01111111,8.958465e-01,4.611953e+01,-
37,0.01141975,8.962981e-01,4.642741e+01,-
