step,n,min,p1,p5,p25,median,p75,p95,max
840,218328,0.13323,0.59200,0.85725,0.95864,1.02168,1.06081,1.14657,3.24217
841,218605,0.13284,0.59130,0.85704,0.95857,1.02175,1.06093,1.14670,3.23453
842,218879,0.13183,0.58995,0.85690,0.95852,1.02180,1.06101,1.14689,3.22653
843,219160,0.13083,0.58907,0.85684,0.95847,1.02189,1.06110,1.14708,3.21821
844,219442,0.12977,0.58761,0.85664,0.95845,1.02199,1.06118,1.14718,3.20962
845,219723,0.12854,0.58652,0.85647,0.95847,1.02213,1.06125,1.14726,3.20079
846,220003,0.12711,0.58560,0.85626,0.95845,1.02219,1.06134,1.14737,3.19176
847,220280,0.12545,0.58484,0.85603,0.95848,1.02225,1.06143,1.14747,3.18256
848,220558,0.12354,0.58396,0.85590,0.95848,1.02227,1.06151,1.14762,3.17324
849,220842,0.12140,0.58242,0.85579,0.95850,1.02229,1.06161,1.14769,3.16381
