bin_lo,bin_hi,count,frac
0.0000,0.0250,0,0.000000e+00
0.0250,0.0500,0,0.000000e+00
0.0500,0.0750,0,0.000000e+00
0.0750,0.1000,0,0.000000e+00
0.1000,0.1250,0,0.000000e+00
0.1250,0.1500,0,0.000000e+00
0.1500,0.1750,0,0.000000e+00
0.1750,0.2000,0,0.000000e+00
0.2000,0.2250,9,5.305403e-06
0.2250,0.2500,24,1.414774e-05
0.2500,0.2750,12,7.073870e-06
0.2750,0.3000,24,1.414774e-05
0.3000,0.3250,48,2.829548e-05
0.3250,0.3500,74,4.362220e-05
0.3500,0.3750,137,8.076002e-05
0.3750,0.4000,197,1.161294e-04
0.4000,0.4250,208,1.226137e-04
0.4250,0.4500,334,1.968894e-04
0.4500,0.4750,445,2.623227e-04
0.4750,0.5000,600,3.536935e-04
0.5000,0.5250,736,4.338640e-04
0.5250,0.5500,1198,7.062080e-04
0.5500,0.5750,1605,9.461301e-04
0.5750,0.6000,1955,1.152451e-03
0.6000,0.6250,3143,1.852764e-03
0.6250,0.6500,3797,2.238290e-03
0.6500,0.6750,5341,3.148462e-03
0.6750,0.7000,7055,4.158846e-03
0.7000,0.7250,11007,6.488507e-03
0.7250,0.7500,16186,9.541472e-03
0.7500,0.7750,23928,1.410530e-02
0.7750,0.8000,32035,1.888429e-02
0.8000,0.8250,37735,2.224437e-02
0.8250,0.8500,49026,2.890030e-02
0.8500,0.8750,56702,3.342522e-02
0.8750,0.9000,84524,4.982598e-02
0.9000,0.9250,128637,7.583012e-02
0.9250,0.9500,151767,8.946500e-02
0.9500,0.9750,168234,9.917212e-02
0.9750,1.0000,187351,1.104414e-01
1.0000,1.0250,246833,1.455054e-01
1.0250,1.0500,171311,1.009860e-01
1.0500,1.0750,112625,6.639122e-02
1.0750,1.1000,59572,3.511705e-02
1.1000,1.1250,37715,2.223258e-02
1.1250,1.1500,27112,1.598223e-02
1.1500,1.1750,17850,1.052238e-02
1.1750,1.2000,12852,7.576115e-03
1.2000,1.2250,9610,5.664991e-03
1.2250,1.2500,7018,4.137035e-03
1.2500,1.2750,5102,3.007574e-03
1.2750,1.3000,3821,2.252438e-03
1.3000,1.3250,2946,1.736635e-03
1.3250,1.3500,2145,1.264454e-03
1.3500,1.3750,1694,9.985947e-04
1.3750,1.4000,1155,6.808600e-04
1.4000,1.4250,825,4.863286e-04
1.4250,1.4500,861,5.075502e-04
1.4500,1.4750,725,4.273796e-04
1.4750,1.5000,538,3.171452e-04
