step,time,n_particles,max_u,min_sigma,min_sigma_ratio,max_gamma_over_sigma2,wall_s,max_dtZ
0,0.0,0,0.0,NaN,NaN,0.0,NaN,NaN
1,0.00030864197530864197,0,0.0,NaN,NaN,0.0,20.233617067337036,NaN
2,0.0006172839506172839,430,2.762584800520345,0.002373647782712288,1.0,5.970486248868928,13.8505380153656,0.0005001659280667478
3,0.000925925925925926,866,3.1772948708986237,0.002373647782712288,1.0,6.529471700498725,11.707950830459595,0.0020250803259806824
4,0.0012345679012345679,1300,3.7766461135186966,0.0023715407523738326,0.99911232392868,9.850476014824986,10.749452114105225,0.002967034025889338
5,0.0015432098765432098,1740,4.457361291399658,0.0023668907766835074,0.9971533240618118,12.421553060666024,10.895058870315552,0.003979759603470381
6,0.001851851851851852,2190,5.176486742295178,0.0023618057368627564,0.9950110349413339,14.562442524506404,10.389661073684692,0.005097794154877247
7,0.0021604938271604936,2654,5.898362329711627,0.0023572811527485128,0.9931048616045832,16.606711433200903,11.307538986206055,0.006474364799198613
8,0.0024691358024691358,3126,6.5673307991685235,0.002348133612094153,0.9892510713662069,18.6737192512708,10.130409002304077,0.008116407544213413
9,0.002777777777777778,3618,7.269210144247246,0.002332834984989586,0.9828058745615297,18.8752096998786,12.04828691482544,0.009526210632647154
10,0.0030864197530864196,4126,7.81886350256815,0.0023209914932082083,0.9778163003426266,18.60244708793736,14.759396076202393,0.010993865411225266
11,0.0033950617283950617,4650,8.257447834304132,0.0023097138007426195,0.9730650931299447,18.082175751110604,12.058329105377197,0.012030015348028411
12,0.003703703703703704,5194,8.624658436590709,0.0022992593648678557,0.9686607177416056,18.145369302351394,10.742398977279663,0.012716860554772589
13,0.004012345679012346,5758,8.952272127485726,0.002290711344598235,0.9650595009427706,19.719555027415307,12.264591932296753,0.013995929936122324
14,0.004320987654320987,6344,9.269290385930642,0.002286443298060105,0.9632614049618863,21.423833564593053,12.546014070510864,0.01639620521955032
15,0.004629629629629629,6952,9.588955800551542,0.0022845382519330946,0.9624588233232434,23.28681063094638,11.716495037078857,0.013594450015348666
16,0.0049382716049382715,7582,9.91496997270244,0.0022848218372716177,0.9625782956984579,25.321166951954996,13.070180892944336,0.01375331845436484
17,0.005246913580246914,8238,10.241895072890696,0.0022866516425212283,0.9633491789200281,27.53717159768744,11.38955307006836,0.013975023291992579
18,0.005555555555555556,8924,10.75143070632406,0.0022894168645897143,0.9645141462284156,28.373211940737153,13.967654943466187,0.014336209392158438
19,0.005864197530864198,9632,13.746190954301872,0.002292784406998255,0.9659328665765089,27.930399517470267,14.294651985168457,0.014684365411716653
20,0.006172839506172839,10366,14.774368100749374,0.00229623906512402,0.9673882881225893,27.332481527740395,13.694713115692139,0.01504015801233228
21,0.006481481481481481,11122,11.802305568688869,0.002296517408632891,0.9675055521543037,28.476046010389208,13.992676019668579,0.015827644227976223
22,0.006790123456790123,11898,12.111565021306149,0.0022792609802380374,0.9602355483565476,30.663794259889077,14.498458862304688,0.01614612864037747
23,0.0070987654320987656,12690,12.396540258861773,0.002259639433820587,0.9519691380827244,32.92289941926602,15.214863061904907,0.016388513123007088
24,0.007407407407407408,13516,12.656022460272224,0.0022445849387548525,0.9456267922741427,35.220111632389376,18.50001096725464,0.016538052563739015
25,0.007716049382716049,14363,15.771517230956484,0.002233661182893017,0.9410246958968306,37.53191657068169,18.47230291366577,0.01654389066918705
26,0.008024691358024692,15245,18.991677779050267,0.00222585405925954,0.9377356132914256,38.5655791308663,19.09043002128601,0.01680820988861051
27,0.008333333333333333,16146,19.342910821535142,0.002220131494480696,0.9353247396898229,37.28672947454949,17.304986000061035,0.018860930386398647
28,0.008641975308641974,17069,17.633980151398593,0.0022156762161102137,0.9334477643428775,36.9800029920295,18.8631010055542,0.023259078316522356
29,0.008950617283950617,18014,15.832891921906079,0.0022120767406208076,0.931931332328144,37.269876889673334,16.782137155532837,0.020340899716821775
30,0.009259259259259259,18971,15.857888407002985,0.0021920309640265237,0.9234861970640661,39.08345062636818,21.322280883789062,0.025303532185019198
31,0.009567901234567902,19945,24.836842416643435,0.002171790430466433,0.9149590121516683,40.849058028557785,17.088370084762573,0.0297385036970404
32,0.009876543209876543,20935,25.794717469494575,0.0021547341210844673,0.9077733169924328,42.57495180316985,15.560951948165894,0.031928443274274125
33,0.010185185185185186,21942,28.105662254132103,0.0021467950449777086,0.9044286438001503,44.2029996979158,12.896663904190063,0.034068348294567966
34,0.010493827160493827,22952,30.761040944110526,0.0021553573440214443,0.9080358761393779,45.91826832845107,16.214781045913696,0.03125600505189332
35,0.010802469135802469,23974,32.20777095287982,0.0021748244545204015,0.9162372237195622,47.14909242854765,14.01728105545044,0.0354519257744239
36,0.011111111111111112,25006,30.827949602266585,0.002189138982802456,0.9222678270745797,45.93673637351555,16.854218006134033,0.041966856778883205
37,0.011419753086419753,26035,29.54158656188713,0.0021871254981061135,0.9214195610803546,46.069466792873015,17.678727865219116,0.0409612716086817
38,0.011728395061728396,27074,27.694078802268358,0.002191842119717273,0.9234066383735872,45.1511358519023,17.925653219223022,0.03814467499490244
39,0.012037037037037037,28111,27.45180640955594,0.0021793062426518363,0.9181253674298786,43.564321145040864,18.800498962402344,0.03629518710626621
40,0.012345679012345678,29159,27.27475450077584,0.0021407842841359177,0.9018963553597302,42.8334055383637,19.25025486946106,0.036168181348712664
41,0.012654320987654321,30203,27.598849199550358,0.0020706809719641117,0.8723623559675789,43.13693687887314,16.170459032058716,0.0359136579663181
42,0.012962962962962963,31246,30.384832712490667,0.0020167099083785466,0.8496247518551887,43.691049452654,15.662917137145996,0.03378343586349903
43,0.013271604938271606,32276,29.49587333205649,0.002003443373317189,0.8440356601803495,45.012365069637575,21.149680852890015,0.03136117437207358
44,0.013580246913580247,33312,29.275527579594407,0.0019638799921024843,0.8273679045416015,46.683876891378496,19.130746126174927,0.032961409233130554
45,0.013888888888888888,34353,33.92646998008064,0.0019113810616240288,0.8052504990609674,48.72195064914829,21.088418006896973,0.04179397611320614
46,0.014197530864197531,35392,31.80489342773709,0.001860190499700045,0.7836842994348839,50.57066999107146,22.96264886856079,0.038516677414826596
47,0.014506172839506172,36424,33.440288384170394,0.001811254566587716,0.7630679580093622,52.692114398607494,20.493746995925903,0.030877027630603078
48,0.014814814814814815,37456,32.916120050987566,0.001765364621526125,0.7437348684938005,54.56122692241572,23.885896921157837,0.029339699712456837
49,0.015123456790123457,38491,32.64321062723306,0.0017264060107967734,0.7273218981225879,56.45352027569445,22.718228101730347,0.03309965592508603
50,0.015432098765432098,39528,36.752501548426494,0.0017395797903057625,0.7328719125792128,58.39749357524202,23.985013961791992,0.05014180870185956
51,0.01574074074074074,40568,37.92311895786165,0.0017477559639703364,0.7363164731935223,60.5538038521666,22.904616117477417,0.04097215995981469
