i,pi_up,pj_lo,y_mid,nia,nib,nic,nid,node_a,node_b,xa,ya,za,xb,yb,zb,n_up_x,n_up_y,n_up_z,n_lo_x,n_lo_y,n_lo_z,Da_col_a,Da_col_b,Da_a_x,Da_a_y,Da_a_z,Da_b_x,Da_b_y,Da_b_z,Da_a_dot_Vinf,Da_b_dot_Vinf,n_wake_dot_jump,gamma_up,gamma_lo,dGamma
1,192,1,-1.2290425000000005,2,1,2,1,7585,7681,1.7113250000000002,-1.2134850000000006,1.3809394137023142e-7,1.74244,-1.2446000000000004,1.3809394137023142e-7,0.10566679538136822,0.10566679538136822,0.9887714886199259,0.10585351879457562,0.10585351879457562,-0.9887315435028928,2,1,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985567,-1.7770695367829459,-1.094827319044392,-0.6822422177385539
2,384,193,-1.1979275000000005,2,1,2,1,7489,7585,1.6802100000000002,-1.1823700000000006,1.3809394137023142e-7,1.7113250000000002,-1.2134850000000006,1.3809394137023142e-7,0.10566679538136843,0.10566679538136843,0.9887714886199257,0.10585351879455948,0.10585351879455948,-0.9887315435028963,3,2,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985576,-2.7499828884158317,-1.724965136175297,-1.0250177522405348
3,576,385,-1.1668125000000007,2,1,2,1,7393,7489,1.6490950000000002,-1.1512550000000006,1.3809394137023142e-7,1.6802100000000002,-1.1823700000000006,1.3809394137023142e-7,0.10566679538136843,0.10566679538136843,0.9887714886199257,0.10585351879455948,0.10585351879455948,-0.9887315435028963,4,3,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985576,-3.444970098424363,-2.1966309451035206,-1.2483391533208423
4,768,577,-1.1356975000000005,2,1,2,1,7297,7393,1.6179800000000002,-1.1201400000000006,1.3809394137023142e-7,1.6490950000000002,-1.1512550000000006,1.3809394137023142e-7,0.10566679538135235,0.10566679538135235,0.9887714886199291,0.10585351879455948,0.10585351879455948,-0.9887315435028963,5,4,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985631,-3.919782167080447,-2.5097395227558326,-1.4100426443246143
5,960,769,-1.1045825000000007,2,1,2,1,7201,7297,1.586865,-1.0890250000000006,1.3809394137023142e-7,1.6179800000000002,-1.1201400000000006,1.3809394137023142e-7,0.1056667953813843,0.10566679538138506,0.9887714886199224,0.1058535187945436,0.10585351879454437,-0.9887315435028996,6,5,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985527,-4.200560948123642,-2.667063015014351,-1.5334979331092913
6,1152,961,-1.0734675000000005,2,1,2,1,7105,7201,1.5557500000000002,-1.0579100000000006,1.3809394137023142e-7,1.586865,-1.0890250000000006,1.3809394137023142e-7,0.10566679538135235,0.10566679538135158,0.9887714886199294,0.10585351879457564,0.10585351879457486,-0.9887315435028929,7,6,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985625,-4.30902141965309,-2.6783706374107257,-1.630650782242364
7,1344,1153,-1.0423525000000005,2,1,2,1,7009,7105,1.524635,-1.0267950000000003,1.3809394137023142e-7,1.5557500000000002,-1.0579100000000006,1.3809394137023142e-7,0.10566679538138454,0.10566679538138454,0.9887714886199224,0.10585351879454358,0.10585351879454358,-0.9887315435028997,8,7,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985532,-4.2676688835373,-2.5591090407613715,-1.7085598427759283
8,1536,1345,-1.0112375000000005,2,1,2,1,6913,7009,1.4935200000000002,-0.9956800000000005,1.3809394137023142e-7,1.524635,-1.0267950000000003,1.3809394137023142e-7,0.10566679538135246,0.10566679538135208,0.9887714886199291,0.10585351879457576,0.10585351879457537,-0.9887315435028928,9,8,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985623,-4.100393290828016,-2.3286015801041304,-1.7717917107238859
9,1728,1537,-0.9801225000000005,2,1,2,1,6817,6913,1.462405,-0.9645650000000003,1.3809394137023142e-7,1.4935200000000002,-0.9956800000000005,1.3809394137023142e-7,0.10566679538135194,0.10566679538135232,0.9887714886199293,0.10585351879454345,0.10585351879454383,-0.9887315435028997,10,9,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.9669516076985643,-3.8313331649672735,-2.0078618102855827,-1.8234713546816907
10,1920,1729,-0.9490075000000003,2,1,2,1,6721,6817,1.4312900000000002,-0.9334500000000003,1.3809394137023142e-7,1.462405,-0.9645650000000003,1.3809394137023142e-7,0.10566679538135235,0.10566679538135158,0.9887714886199294,0.1058535187945436,0.10585351879454283,-0.9887315435028998,11,10,0.9973144772244581,0.0,0.07323819712763169,0.9973144772244581,0.0,0.07323819712763169,1.0,1.0,1.966951607698565,-3.4831890916190815,-1.6173657173226403,-1.8658233742964412
