kind,step,idx,X1,X2,X3,sigma,G1,G2,G3,absG,J11,J12,J13,J21,J22,J23,J31,J32,J33,absJ,SFS1,SFS2,SFS3,absSFS,C1,C2,C3,JdotG1,JdotG2,JdotG3,GdotSFS
seed,42,68,-0.0028773533243570313,-0.018963983485732385,-0.010408738871588623,0.004751312591155622,-4.9297117260793346e-5,-4.7685755182651956e-5,0.0005526945074980345,0.0005569338880298623,402.933665392805,926.5322543590537,123.90777145591858,-1176.2203322813136,-38.18240012613028,669.1212817768985,-434.8747145426875,-224.57475575046283,-364.7512652666753,1800.3998089764514,-18983.59033634032,182118.5958684582,-107073.93000099859,212114.08757792474,0.0,4.816775048507541e-8,4.816775048507541e-7,0.004437286318621114,0.4296246855178385,-0.16944893429636476,-66.92779950573113
nbr,42,4700,-0.0036937672599777387,-0.019168066362281484,-0.009731070612414664,0.005617323397018123,5.4109804793463974e-5,-2.826248575264908e-5,9.720401232144467e-5,0.00011478353142804518,372.14540835934304,1188.839645023777,157.6181238879205,-1397.4297299052491,-5.734768268482045,652.9671485043773,-421.2193017601313,-224.56128643331357,-366.41064009086114,2077.97845100687,-58754.24527702414,110852.20410028631,-118606.218032575,172649.0875966478,0.0,1.11629652652447e-8,1.3042884121491551e-7,0.0018582659279235188,-0.0119815443425553,-0.05206201840916232,-17.841139860799544
nbr,42,4830,-0.004709495398435588,-0.01876496006334316,-0.011082892689370813,0.005777756715409705,4.3158214593423756e-5,-3.330725039578741e-5,8.886148740315241e-5,0.00010425146694085561,280.35562716795033,1118.914070580884,222.0821534908871,-1386.1223414276506,28.007373066153058,683.3796819695103,-545.2857917555341,-289.06929109101156,-308.3630002341036,2060.340067965275,-64265.47795312169,105217.47039410776,-95910.41367087324,156203.63370676158,0.0,1.5102149591955463e-8,1.5102149591955462e-7,-0.005433752315523524,-2.9279050812180962e-5,-0.04130705281613032,-14.800829937123105
nbr,42,4575,-0.001669990734804225,-0.01948487547324191,-0.007894356536773329,0.005889015811920631,3.13304328653885e-5,-1.869359895983329e-5,9.747542911145047e-5,0.00010407932525754143,515.6677522305501,1128.1273263300768,78.9544503498633,-1365.2803029856575,-74.48156482247833,594.2371269382031,-236.951544250633,-164.01042979715413,-441.1861874080726,2011.2594511769648,-21219.766509751535,104841.98711327292,-128460.33291199626,167165.12161467466,0.0,1.2667899601753063e-8,2.5169236794664083e-5,0.002763453006173246,0.016541024569819637,-0.04736266218528338,-15.146424605697142
nbr,42,4319,0.00016636974271215846,-0.020398642860224782,-0.011704856339877836,0.008765678236609677,4.354687784962075e-5,-4.7353303974937613e-5,0.0001465420979038998,0.00016004140847252247,439.57210488463943,810.9830324380061,100.2956739493566,-1289.4779894761432,-80.87364178000597,560.3433949448995,-392.60725609441147,-29.99329472516473,-358.69846310463396,1768.603893115885,-16821.582058853233,92311.88775481889,-94421.82981303713,133116.23563286022,0.0,4.435517682965198e-8,6.197254891018097e-7,-0.004563194824817296,0.02979079028709572,-0.06824096391994515,-18.940573289235964
nbr,42,4323,-0.0015708339809117557,-0.01894226410810087,-0.014203680098131326,0.006756393194569853,-5.029754261428754e-5,-5.0216896278373515e-5,0.00014488929780655545,0.00016138304769629835,339.0067739274717,806.6747628267366,135.50434132672257,-1240.702144474938,-92.37944144283045,606.5592597377876,-582.2215722973685,-67.48936962277968,-246.62733248464124,1761.8634781779529,-42889.47699455565,104758.6123857545,-67306.91096954016,131696.97935076902,0.0,3.423710404760423e-8,3.423710404760423e-7,-0.03792678168883229,0.15492722303402695,-0.003060240005779223,-12.855468143508618
nbr,42,4449,-0.006762234565178786,-0.01867916724598672,-0.012746959817132213,0.0054957091494667355,6.900134110339938e-5,-4.921871947335861e-5,8.555876147164597e-5,0.00012043242538962194,125.13593275822471,937.1895815700586,359.3342458987232,-1355.2351013153132,87.19940880659135,713.647900989782,-691.6014806516453,-412.189451775771,-212.33534156481647,2017.414857320876,-41209.30420499696,82640.83211839627,-50691.02848499435,105343.69584909885,0.0,1.138940411778716e-8,1.1389404117787159e-7,-0.006748530894666101,-0.03674605220592669,-0.045601141518175695,-11.248034804063058
nbr,42,4569,-0.0007446023836976798,-0.019909094223369176,-0.006298024665630497,0.005798239752996319,4.0860952796236845e-5,-9.55734949385325e-6,0.00010251191118657034,0.00011076846269533236,566.2827703724572,1044.4123755044952,63.088552459270105,-1330.6435056139221,-99.2144986323546,541.9690056524055,-103.13359558400101,-146.62311456192248,-467.06827174010147,1933.889153278051,11844.084543791047,90389.6986444643,-117111.8227980566,148410.77790646118,0.0,-2.9408085041105093e-9,1.6451571415631174e-5,0.019624367547703223,0.0021351447400904736,-0.050692869821804654,-12.385282138702475
nbr,42,4441,-0.002541758463024667,-0.01792164917188669,-0.015340116446792035,0.0068121634255073685,2.9126006258075447e-5,-3.436874842199483e-5,6.600926380598472e-5,7.991719475086638e-5,275.0536658130012,761.0662731542217,164.23941245066578,-1193.2030992450273,-97.3020868015065,594.7090376008505,-697.2203214027297,-95.07192339085964,-177.7515790114948,1730.74597165367,-50713.360370523355,92421.14923136793,-58337.754729697685,120485.71439062689,0.0,1.0792895291634234e-8,1.330185565244985e-7,-0.00730435777893065,0.00784721575724822,-0.028772991298317757,-8.504309120125871
nbr,42,4708,-0.005761144632393794,-0.018273755498182786,-0.005964753857932533,0.008518362107310107,0.0009192890835356853,-0.0006586243619026048,0.0006909653642133864,0.0013252590704243572,288.3569882414163,1151.830482840892,48.8862810943201,-1285.6030993244663,84.64339286836878,566.7346535813191,-53.1191748668744,-66.8776469690464,-373.0003811097851,1881.436853465445,-76323.44489658276,67886.61637393039,-66501.8804102815,121886.6728633048,0.0,-7.893124978256387e-7,5.539939976923838e-5,-0.45976145830811493,-0.8459950792616626,-0.2625149742062595,-160.82558512083799
