kind,step,idx,X1,X2,X3,sigma,G1,G2,G3,absG,J11,J12,J13,J21,J22,J23,J31,J32,J33,absJ,SFS1,SFS2,SFS3,absSFS,C1,C2,C3,JdotG1,JdotG2,JdotG3,GdotSFS
seed,42,5071,-0.002241838811217496,0.02044463517859608,0.007779879190628961,0.005656214101843524,4.601479856865493e-5,9.343911140967237e-6,-0.00010144602089002832,0.00011178535466305164,599.3429271243533,-1561.8380649413227,-12.023894729165558,1768.5855126028946,-160.0933337489928,1104.4327030455902,133.87589567053186,-408.3266222882327,-439.2495933753608,2747.6507123515034,-181044.96542812468,-544228.1458177168,-74201.71466096085,578331.6078736208,0.0,7.717611981199913e-14,8.48325521401529e-6,0.014204744245657645,-0.032155094835741665,0.04690502812281854,-5.888498355406605
nbr,42,5070,-0.0012177894107558134,0.02070646038994505,0.006212845013208881,0.005512568187620383,5.499286076087149e-5,-8.629152622748486e-7,-0.00010828115581573861,0.00012144862313837374,647.2215938334848,-1635.0138200758493,-12.865946096200267,1759.9328352806176,-161.64866634617118,996.1720058264501,41.76995377176009,-298.33685033293045,-485.572927487313,2744.9434840025865,-45845.22816402478,-484942.42161141656,5513.686536960833,487135.8516502191,0.0,-2.7362865106988102e-11,1.0228561466486108e-6,0.038396584884447464,-0.010943425721781433,0.055132886494367817,-2.6997243830693796
nbr,42,493,-0.00020684730090712,0.01863161658632823,0.007013744885679968,0.006900192777980888,-6.099448331398817e-5,-0.00011477302706801975,-0.0007628813663278468,0.000773874120143153,635.1144941695829,-1321.8362639804677,142.7671569014197,1652.5936330343168,-168.93872061894686,915.7307202673226,95.65269102548856,-239.8076446448274,-466.175773550635,2460.3149687499626,-264017.89930352406,-369613.5497040936,-94638.32360179294,463978.49041918304,0.0,1.1093952311386716e-9,7.492927351827704e-7,0.0040582651645245105,-0.780003389486398,0.3773259738984959,130.7231149148705
nbr,42,4951,-0.005131493778791759,0.02036481702337085,0.010149075568610595,0.006783245263222917,0.00014438500896559055,3.8750850667683945e-5,-0.0001863931139720755,0.0002389373394379161,443.97356575502647,-1241.8033766336525,-172.4966703542591,1652.6982891942398,-99.24887444246181,1272.9313758887722,424.05828520581287,-699.9766924312735,-344.7246913125632,2630.4348363904182,-216384.81560372192,-493206.76914885524,-119065.69839567407,551590.3788977456,0.0,1.642955827356923e-11,2.104436571552035e-7,0.04813438160261331,-0.002486764034395905,0.09835727570892178,-28.161879109309563
nbr,42,5069,0.0005308339423558243,0.022883463751956608,0.008955188754573525,0.006928155027195866,1.8366080655543798e-5,1.021030681833632e-5,-8.095588657917779e-5,8.36386205995245e-5,481.41074973095476,-1177.6820442620153,-132.2353400175894,1465.0281695069057,-99.84406667506192,787.0581664478759,-24.795142683847715,-105.20560097704964,-381.56668305589386,2137.5665080063445,82479.26957765517,-222429.54190739713,-69366.34596417201,247162.74188400496,0.0,1.215809770667408e-11,5.5941575939040446e-6,0.00752236283986679,-0.03782960468510516,0.02936049806048562,4.859361085424549
nbr,42,4949,-0.0007902252810975965,0.022126251620252953,0.011255245645797652,0.006815065090488926,-2.3465769460439744e-5,1.9536278191994306e-5,-9.065808513696723e-5,9.56618884544263e-5,430.02724331631873,-1106.2598349969053,-90.09418601849066,1458.3435877189931,-124.39906642348316,925.6556768735711,84.96790693597224,-144.72582687636444,-305.62817689283565,2130.1418936909627,-71178.91925475244,-317458.0666887242,-148755.9879905252,357735.106769037,0.0,3.210491706591886e-11,1.780951592571992e-7,-0.02353535365608833,-0.12056962035351926,0.02288642394988809,8.954252028430387
nbr,42,5072,-0.005479203616207705,0.019492231139449243,0.005216689784927453,0.006661092972795394,0.0006349605368932222,0.0006001581993438858,-0.0003845124250352376,0.0009545755877131489,650.2979193716635,-1458.0799812804607,26.044347293482137,1662.2993915720936,-129.76242103637722,1014.2559091764213,-68.83902370716471,-249.11060971092843,-520.535498335285,2587.683836617607,-93958.27875911418,-398347.1885481329,19558.72638984789,409745.26787941076,0.0,-1.3393282726114372e-9,5.297945269355629e-5,-0.47217951517614803,0.5876225339544525,0.006936528367951389,-306.2517038339581
nbr,42,5200,0.0003401315506124828,0.020926760712957914,0.00404772032625751,0.005762711588398093,2.1870938008716553e-5,1.2932257632531066e-5,-0.00010454916017437252,0.00010759232365750766,630.2577456562647,-1517.3867761361305,-22.95406054632013,1681.5226204112794,-126.06655056345622,816.7649735510552,-56.77271397623123,-215.84143385223567,-504.1911950928089,2552.4008090859184,82089.63804182125,-288915.5509726984,15421.222698079282,300746.93411105435,0.0,0.0,0.0,-0.0034390808797171053,-0.05024594016406782,0.04867977647595362,-3.5532288363991045
nbr,42,5068,0.0010769440590025726,0.023503336430370437,0.006957132222513497,0.006897222201052819,2.721941995821512e-5,6.9027514238949105e-6,-8.310714097700832e-5,8.772309662485758e-5,479.87449411045935,-1187.2533279580794,-183.09157500193578,1392.4148185125496,-80.7987952249912,671.0283541068111,-24.37426618987932,-141.9032328420722,-399.075698885468,2061.3081015715934,182461.03168850942,-153526.9953571445,-28935.785584962876,240207.9225913393,2.0284746462455e-6,9.18871248045709e-12,-4.529863115353431e-6,0.02008280811773039,-0.018424258321977936,0.031523064237621155,6.3114951736208935
nbr,42,5202,-0.002398655083736681,0.01773661746998993,0.0037307539609885507,0.006856564013552516,0.00039188637802753347,-2.7310281293535026e-5,-0.00032915517550906987,0.000512507477323285,712.7170700900169,-1743.3624306490815,115.37529551669562,1740.573440714445,-51.743583915305194,775.1942981298596,-111.30816207190566,-94.09332504157139,-660.9734861747103,2766.2100709181614,-80724.9402605365,-72599.28559924227,258554.071768546,280423.57297075074,0.0,0.0,0.0,0.28893945388837106,0.4283609379498042,0.17651240654414707,-114.75670841532607
