NREL's S826 Airfoil
   x/c        y/c
1.000000   0.000000
0.996640   0.000985
0.987056   0.004265
0.972314   0.009834
0.953332   0.017037
0.930531   0.024949
0.903794   0.032768
0.872736   0.040403
0.837646   0.048100
0.799007   0.055842
0.757330   0.063544
0.713160   0.071084
0.667064   0.078312
0.619624   0.085056
0.571426   0.091118
0.523051   0.096277
0.475063   0.100280
0.428007   0.102811
0.382245   0.103258
0.337323   0.101581
0.293568   0.098300
0.251455   0.093644
0.211424   0.087785
0.173909   0.080881
0.139301   0.073078
0.107962   0.064532
0.080220   0.055386
0.056312   0.045810
0.036491   0.035989
0.020843   0.026134
0.009548   0.016553
0.002548   0.007584
0.000169   0.001654
0.000001   0.000102
0.000000   0.000006
0.000198  -0.001417
0.000946  -0.002691
0.002165  -0.003992
0.003667  -0.005223
0.013639  -0.010342
0.029183  -0.015169
0.049938  -0.019578
0.075768  -0.023565
0.106324  -0.027219
0.141288  -0.030720
0.179884  -0.034729
0.220074  -0.038653
0.261526  -0.040769
0.304974  -0.040625
0.350096  -0.038079
0.397636  -0.032821
0.447637  -0.025646
0.500087  -0.017114
0.554624  -0.008267
0.610364   0.000049
0.666289   0.007219
0.721305   0.012793
0.774276   0.016474
0.824060   0.018113
0.869551   0.017689
0.909558   0.015218
0.942700   0.011278
0.968241   0.006966
0.986101   0.003275
0.996568   0.000850
1.000000   0.000000
