# axial thickness
1.6805867646543845e+01 -1.6792534183868714e+01
9.0163631099170853e+00 -1.0063350898532818e+01
7.5707690364419742e+00 -1.1087680349978424e+01
6.3983374725310496e+00 -1.0607062909510377e+01
4.7618381748248071e+00 -1.0369006122838389e+01
2.6869899205412762e+00 -1.0106106827273775e+01
-5.0569948974353029e-01 -9.2989822816431804e+00
-2.0010984160958669e+00 -8.9157458547882698e+00
-3.2053958551299817e+00 -8.2223291785057384e+00
-3.6959675248087356e+00 -7.7548306530214308e+00
-3.7556335947029402e+00 -6.3581098998642691e+00
-5.4695911907183037e+00 -6.0421658471852435e+00
-6.4386559265219390e+00 -5.9939439008702120e+00
-8.7591449280781823e+00 -5.7434634490634471e+00
-1.0070255272688906e+01 -5.4085837760916089e+00
-1.0584085733740638e+01 -5.2139908237795227e+00
-1.1826947011277941e+01 -4.5621901448715860e+00
-1.2864725147770944e+01 -3.7002220421216911e+00
-1.3988387621544378e+01 -2.4362247520707228e+00
-1.4494242531721087e+01 -1.5015370421475618e+00
-1.4553279528641578e+01 -1.3618621061789702e+00
-8.7179372744589614e+00 5.7257480288957883e+00
-8.7179372744589614e+00 5.7257480288957883e+00
-8.2441715756435414e+00 6.0879552844364131e+00
-7.7868507196146126e+00 6.4644428979181399e+00
-7.0070655501291892e+00 7.0858514175727674e+00
-6.4524850184664864e+00 6.9408526960818389e+00
-6.0049175065494644e+00 6.6764008799564332e+00
-4.9192341194921463e+00 6.1026584590116180e+00
-4.2285600262436107e+00 5.8548613968659051e+00
-3.3725064523920678e+00 5.7278577790293994e+00
-3.0413310802575242e+00 5.7221448212870891e+00
-1.3465260469778397e+00 5.7048692634141984e+00
-9.1941139787965531e-02 5.3032883416388934e+00
5.7221395912927886e-01 1.3610181422115344e+00
6.4957703668007072e-01 -1.0070515970982838e+00
9.3782392646776602e-01 -1.6759633529004896e+00
2.7451651046867633e+00 -2.4664867726049344e+00
3.4496586322839300e+00 -3.1932704246728960e+00
4.7295678681401307e+00 -4.5404886827592366e+00
5.8644044523401977e+00 -5.7935785741967702e+00
6.5767242053649655e+00 -6.5149900449899176e+00
6.7108937944215290e+00 -6.6153697835718877e+00
8.1176245705731702e+00 -7.8249101385440705e+00
8.4152199805651282e+00 -8.2522617046764388e+00
8.8619746520295752e+00 -9.7315445017336568e+00
8.5747181550612730e+00 -9.0609692959687287e+00
