# x_over_c y_over_c
9.9999999999999989e-01 1.7347234759768071e-18
9.9874712476909311e-01 2.7157458343932397e-03
9.9707258799017195e-01 5.2144982186626372e-03
9.9153881041433101e-01 8.1574368999769616e-03
9.8670945970414214e-01 1.0518024776876793e-02
9.7513358191088173e-01 1.4604506311440169e-02
9.6998364263191705e-01 1.6661676336473037e-02
9.5917465355796305e-01 2.0082975359433691e-02
9.5340220599003533e-01 2.1586957847448178e-02
9.4729055618643199e-01 2.3319933180398957e-02
9.3048915058314230e-01 2.8610411307829979e-02
9.2427556628885443e-01 3.0232990214538465e-02
9.1876990571325123e-01 3.1710960251951845e-02
9.0738641239151452e-01 3.4494232764193396e-02
8.9542823141058836e-01 3.7044646028403204e-02
8.9348146063815159e-01 3.7534146845690314e-02
8.7808899044099709e-01 4.0889363114683247e-02
8.6567597219721282e-01 4.3608708398377126e-02
8.6069428152282668e-01 4.4836544204334722e-02
8.4831909305658582e-01 4.7327878535696186e-02
8.3485123365935865e-01 4.9837698195635979e-02
8.1974323207464628e-01 5.2406449988325596e-02
8.0658538462771634e-01 5.4851731599477010e-02
7.9465960192612317e-01 5.6866670875506994e-02
7.8273450977949788e-01 5.8668193302120288e-02
7.7619676438679175e-01 5.9644443771861601e-02
7.6373643767542709e-01 6.1316344321830800e-02
7.4626467009148856e-01 6.3613648733776160e-02
7.3380615474112054e-01 6.5197746124189132e-02
7.2134646559674120e-01 6.6807626519532204e-02
7.0883355899195566e-01 6.7829892794747715e-02
6.7888593123245944e-01 7.1534665296987057e-02
6.6640222023424234e-01 7.2854038048163663e-02
6.4136365229532011e-01 7.4802616381607151e-02
6.2883443265564376e-01 7.5607235316543592e-02
6.1634605029309153e-01 7.6792138833112755e-02
6.0382749529613755e-01 7.7849291147526062e-02
5.7879631516846497e-01 7.9759651729694195e-02
5.6624741041436122e-01 8.0413441201410543e-02
5.5372027409998759e-01 8.1133390718828469e-02
5.4121284889205046e-01 8.2202331612093740e-02
5.1613651779888148e-01 8.3672045066116987e-02
5.0339206787940427e-01 8.4258781445341352e-02
4.8463657784661329e-01 8.5230813320099019e-02
4.6879064330593984e-01 8.5825692038022622e-02
4.5736790660768029e-01 8.6274889542139854e-02
4.3993402118370328e-01 8.7222006737180544e-02
4.2317801293849816e-01 8.7452659898331078e-02
4.1159017526518754e-01 8.7872428510362505e-02
3.6294203797410829e-01 8.9008618110482149e-02
3.5032553969629859e-01 8.9008136975805285e-02
3.3939233718503325e-01 8.8805090768430586e-02
3.1862497305854293e-01 8.8722286469712752e-02
3.1060469354126402e-01 8.8671587757664261e-02
2.9747377635513422e-01 8.8367490731783252e-02
2.7701040755975759e-01 8.5855784625303008e-02
2.7057795692571085e-01 8.5590104952217860e-02
2.5785793764332476e-01 8.5664862853234103e-02
2.4420636263340936e-01 8.4676494542462954e-02
2.0520839044945730e-01 8.1064350967286175e-02
1.8895033162434463e-01 7.9510297747448264e-02
1.7641618267468115e-01 7.8800142813607879e-02
1.5614483566883830e-01 7.5699846227738649e-02
1.4593393163794172e-01 7.5023077768501645e-02
1.1993860761560607e-01 7.0101303198517012e-02
1.1297167825801092e-01 6.9212003478320711e-02
1.0153382183426657e-01 6.7251609036127605e-02
8.4529309282667539e-02 6.2269699267564066e-02
7.6066211136347775e-02 6.0374238301025528e-02
6.9152563499286945e-02 5.8995982780237141e-02
6.0668438961717988e-02 5.6484964103169569e-02
5.3038934053106633e-02 5.3556625644498826e-02
3.9992424663622864e-02 4.6254266481340837e-02
3.4198062980650153e-02 4.2616689769953447e-02
2.7646468677704695e-02 3.8303299368751188e-02
2.3826278232415329e-02 3.5037037065571701e-02
1.7364526162358077e-02 2.9407268403203315e-02
1.4203856554082293e-02 2.5716060030342991e-02
9.6580787019135486e-03 2.0867360293444114e-02
8.3793940402500568e-03 1.9961987887603328e-02
5.2421678022671354e-03 1.6084436437161533e-02
5.6845328578319649e-04 9.8570322525160150e-03
0.0000000000000000e+00 0.0000000000000000e+00
0.0000000000000000e+00 0.0000000000000000e+00
5.7029464207095171e-03 -1.7112463698113333e-03
6.3370778122431070e-03 -1.8442063418025671e-03
1.1221657420476743e-02 -3.1450456810807161e-03
1.6772198746407313e-02 -4.4944455260491232e-03
2.3044831743138733e-02 -5.8275526309953885e-03
3.5525290569952385e-02 -7.2331580911940930e-03
5.4065174041440997e-02 -7.9620707305251073e-03
6.0766464938916381e-02 -7.8427772365408707e-03
6.6974299764730100e-02 -7.8147623464920896e-03
7.1170991124621608e-02 -7.5436275606170396e-03
8.0906411214410487e-02 -6.8321544563044231e-03
8.8185357107218462e-02 -6.2087148588380369e-03
1.0111502317191964e-01 -5.6970906291122607e-03
1.1378264426088246e-01 -5.1508521373001895e-03
1.2464248421281511e-01 -4.5246049138220768e-03
1.2754140024950525e-01 -4.1853533087543044e-03
1.4123788846892213e-01 -3.2030508275323359e-03
1.4812875516460389e-01 -2.8328887589542271e-03
1.7452279651837790e-01 -1.5108762391631788e-03
1.8713360013218119e-01 -1.1199358936479081e-03
1.9396666505576238e-01 -7.0812187774846227e-04
2.0731491143302458e-01 -3.9625747089265555e-04
