# row axial thickness
1 -1.0469835970655936e+01 7.6509995855080932e+00
2 -1.0583090094204298e+01 7.6882197702397459e+00
3 -1.0759387275947896e+01 7.7518414169308061e+00
4 -1.0752442167469393e+01 7.7491870325815384e+00
5 -1.0763377162678468e+01 7.7534310493926428e+00
6 -1.0946698542915652e+01 7.8153574455470984e+00
7 -1.1034887568457480e+01 7.8347949467225844e+00
8 -1.1178199677605354e+01 7.8338279165316616e+00
9 -1.1449632446074972e+01 7.8043647629129413e+00
10 -1.1386286315843957e+01 7.9981131957769973e+00
11 -9.3865578213185596e+00 7.4224389804705329e+00
12 -9.3675656917063748e+00 7.4206762032366518e+00
13 -9.3928012698830585e+00 7.4248880196929621e+00
14 -9.6087575271064889e+00 7.4591344093913428e+00
15 -9.5975002124058388e+00 7.4583805473509308e+00
16 -9.6133627282763214e+00 7.4607308731424720e+00
17 -9.8361900088411911e+00 7.4919936607257904e+00
18 -1.0410895527279482e+01 7.6327157102973100e+00
19 -1.1265257030013512e+01 8.2097844505511759e+00
20 -1.1272071102195627e+01 8.2015606191065995e+00
21 -1.1261344396163750e+01 8.2138718540457738e+00
22 -8.3320861396102721e+00 7.2669461165656895e+00
23 -8.3400993953244473e+00 7.2681598296444276e+00
24 -8.5551312256471927e+00 7.3017645033622518e+00
25 -8.5638668939962894e+00 7.3030539890338426e+00
26 -8.7855902970313018e+00 7.3341147199631243e+00
27 -1.0969025305766582e+01 8.4252494840514167e+00
28 -1.1154937809027212e+01 8.3036369088159550e+00
29 -7.1042415227918889e+00 7.0347920121546688e+00
30 -7.2595147346921003e+00 7.0658586012821480e+00
31 -7.3215920482730761e+00 7.0785072804348186e+00
32 -7.5197700710080611e+00 7.1209422985670763e+00
33 -7.5053237942692475e+00 7.1182854651496452e+00
34 -7.5246795530845656e+00 7.1221923879179130e+00
35 -7.7415712396021190e+00 7.1621188444290071e+00
36 -8.3343954794120734e+00 7.2675697825766532e+00
37 -8.5593994065949932e+00 7.3026042352073590e+00
38 -1.0628492155512166e+01 8.5826788623201473e+00
39 -1.0618909565980880e+01 8.5871280660995506e+00
40 -1.0648840746778319e+01 8.5757761733081495e+00
41 -5.7263943587655959e+00 6.7211079609901327e+00
42 -5.9190367757823097e+00 6.7660350272294654e+00
43 -5.8953417755335451e+00 6.7606347383398582e+00
44 -5.9288553646996105e+00 6.7682344388782809e+00
45 -6.1382054830467130e+00 6.8131008599676282e+00
46 -6.1319850219403040e+00 6.8118399716922973e+00
47 -6.1408268758245175e+00 6.8138314767695363e+00
48 -6.3434611871290096e+00 6.8639656669586673e+00
49 -6.3871412692995921e+00 6.8745972838318741e+00
50 -6.7184733706798809e+00 6.9460779841467444e+00
51 -6.9337976433619009e+00 6.9974774513387610e+00
52 -1.0240456954580715e+01 8.7193093398557497e+00
53 -1.0251822101322606e+01 8.7156784913521932e+00
54 -4.3528730413040595e+00 6.3945004784796087e+00
55 -4.5101377871518746e+00 6.4341253746070892e+00
56 -4.5554343952389766e+00 6.4456200143184317e+00
57 -4.7565062532009366e+00 6.4968634901663576e+00
58 -4.7633876305163385e+00 6.4985596982425919e+00
59 -4.9626650788336946e+00 6.5431573300316757e+00
60 -5.0053855194669952e+00 6.5524371685735341e+00
61 -5.3363470259147290e+00 6.6342749185752155e+00
62 -5.5555926313703639e+00 6.6818387185780939e+00
63 -9.7020725441234053e+00 8.8832197616522688e+00
64 -9.8620756130711822e+00 8.8474440245852417e+00
65 -9.8686818965528200e+00 8.8457295315933671e+00
66 -1.0245156581229871e+01 8.7185684888848627e+00
67 -2.6488182545720411e+00 5.9289947288820590e+00
68 -2.7994714425969369e+00 5.9745631839235047e+00
69 -2.8350665865957909e+00 5.9858145389285262e+00
70 -3.0255909850914007e+00 6.0424754112582182e+00
71 -3.0756213355759674e+00 6.0547852531000670e+00
72 -3.2377065821133422e+00 6.0888359901418765e+00
73 -3.2970380103438104e+00 6.1032818696080033e+00
74 -3.4365585307477966e+00 6.1403282396638899e+00
