r,twist_rad,chord,axial,tangential,wu1,wu2,wu3,wu4,wu5,wu6,wu7,wu8,wl1,wl2,wl3,wl4,wl5,wl6,wl7,wl8,leading_edge_weight,dz
2.3972222013913722e+00,-9.5701663966444828e-01,4.5672738902519932e+01,2.3139883654921061e+00,-1.1974070945914656e+01,6.5025641020243580e-02,1.4632990359871338e+00,-3.1987716454430228e+00,6.3352871476661017e+00,-8.5254289251806021e+00,7.8304138911305099e+00,-4.2906968979008822e+00,1.6976081096181561e+00,-1.3849615171872780e+00,1.0795598458874374e+00,-5.7733896008363281e+00,8.3295385878534169e+00,-1.1121232820918891e+01,8.9089330297191491e+00,-8.4575516071661561e+00,1.5017187783584456e+00,0.0000000000000000e+00,3.0531133177191805e-16
7.1903711243136872e+00,4.8649180588801390e-02,9.9736923628164575e-01,-2.4251029411340920e-02,-4.9809460541422113e-01,1.1700217049197528e-01,1.1353335567338214e+00,-2.0908331950213923e+00,5.9579500991876122e+00,-3.3337889159719047e+00,1.7980770600128302e+00,9.1870865744738395e-01,2.6233234276183476e-01,2.6064135279662438e-02,-1.1824990544170944e+00,2.8671544032180321e+00,-5.7790933640289905e+00,5.5542090121270222e+00,-8.4586445646448958e+00,7.2182063035951929e+00,-6.4047505599335315e+00,0.0000000000000000e+00,-6.9388939039072284e-18
1.1983520047236002e+01,-3.5660049354529760e-01,2.1129128848010332e+01,-3.5841018332365473e+00,-1.2886180051484404e+00,2.9453852384403123e-01,2.9124736632278125e-01,1.5726330551727791e-01,6.6799535720702008e-01,-2.1023286502402214e-01,9.7337231348443687e-01,-9.1647282503852248e-02,1.3615046525595365e+00,-6.8569844844068500e-02,-3.6078845700990925e-01,2.9564698389617422e-01,-7.8845767472057360e-01,4.0017900707996273e-01,-6.5125559264965904e-01,-5.8754684064237644e-02,-7.4151958277545771e-01,0.0000000000000000e+00,-8.6736173798840355e-19
1.6776668970158319e+01,-3.5056912305329113e-01,2.5272084525288609e+01,-3.3615969552308309e+00,-2.1966527377124381e+00,2.2763396829532084e-01,3.6663716839588256e-01,-1.0534850347835732e-01,9.3955745679908409e-01,-6.9864384236603194e-01,1.3319825166314259e+00,-4.3174655604229351e-01,1.2361486330504818e+00,-1.1205051867739170e-01,-1.2669701043054193e-01,5.0712588989547329e-02,-2.2347128694582441e-01,-7.7273547742251272e-02,-9.5195917856350953e-02,-2.4839741213882313e-01,-5.6953072881668909e-01,0.0000000000000000e+00,4.3368086899420177e-19
2.1569817893080632e+01,-3.4269363062118297e-01,2.9089532835011511e+01,-3.0796825587608057e+00,-3.0181200553388461e+00,2.1989677169985986e-01,3.3824006966594766e-01,-1.0593271577260477e-01,8.2688308598164439e-01,-5.1114192859304985e-01,9.2514611937111768e-01,-1.4906943792056396e-01,6.9638871313925454e-01,-3.8059388351686575e-02,-4.0494506712699378e-02,1.0971895393441045e-01,-8.3609166534302087e-02,2.6809473669135275e-02,1.8501550811433155e-02,-2.8946945717165572e-02,-3.6630313578423224e-01,0.0000000000000000e+00,3.4694469519536142e-18
2.6362966816002945e+01,-3.4422953860428118e-01,3.1320603106359741e+01,-2.9243094922420534e+00,-3.4781252820853608e+00,1.5867947225926293e-01,4.1325211665045491e-01,-2.6891583678713071e-01,9.8168133459647144e-01,-6.9771414945067167e-01,1.0298957936002060e+00,-2.6033540599621963e-01,6.3608514234231384e-01,-6.1103963365704547e-02,1.1034541118314377e-01,-4.1283370737820978e-02,1.8104219596442989e-01,-2.2311196266737884e-02,1.1480403934284314e-01,1.4561060897957173e-01,-1.3108965073413897e-01,0.0000000000000000e+00,-5.2041704279304213e-18
3.1156115738925266e+01,-3.2321350799630272e-01,3.1398207102488147e+01,-3.0118376053806521e+00,-3.4999122603306159e+00,1.7671148689545441e-01,4.8879841952071984e-01,-4.4707395615119261e-01,1.2882692530083046e+00,-1.0566436294070194e+00,1.3316349079038201e+00,-4.8111455821080990e-01,7.0492698501754236e-01,-3.1794113237307180e-02,9.5247767491366181e-02,6.1161522404717159e-02,7.6029675758378906e-02,9.6950320830544889e-02,8.4213023749901583e-02,1.9601837903064001e-01,-1.4299158899195848e-03,0.0000000000000000e+00,-2.1684043449710089e-19
3.5949264661847579e+01,-3.1227102085910829e-01,2.9681253395790609e+01,-3.4907766888304561e+00,-3.3809798810465663e+00,1.1345290108230646e-01,4.4228290018555833e-01,-3.3779623046313373e-01,1.0380688329146128e+00,-7.8333820652000175e-01,1.0449832007047195e+00,-2.9841128146275792e-01,5.7524842964291534e-01,-1.3629292357660294e-01,2.2555838990250482e-01,-2.4149259592684785e-01,4.4661637019211320e-01,-2.9860180938529229e-01,2.7431805306120322e-01,1.0708405793993601e-01,-2.2394232628120219e-02,0.0000000000000000e+00,-5.2041704279304213e-18
4.0742413584769892e+01,-2.9321112974401442e-01,2.7682074985888438e+01,-3.8291083192085882e+00,-3.0847043195821078e+00,1.1630488111501891e-01,4.3682165678974999e-01,-3.2453418417871610e-01,1.0015104170962335e+00,-7.2532877448945454e-01,9.7796110566302485e-01,-2.6380378497187668e-01,5.3669136050442956e-01,-1.2713017201549315e-01,2.1366866988231609e-01,-2.0922183912424361e-01,4.1673952772742184e-01,-2.9097188203309560e-01,3.3639181058367529e-01,2.6168907762911323e-02,7.1366776205376514e-02,0.0000000000000000e+00,0.0000000000000000e+00
4.5535562507692205e+01,-2.7333898474671092e-01,2.6119651820919099e+01,-4.0776989495719365e+00,-2.8171361088072979e+00,1.3817591642505489e-01,4.0717080048451509e-01,-2.4139517850753486e-01,8.7821484067004585e-01,-5.6729393503379300e-01,8.2786636892484933e-01,-1.5328958570742182e-01,4.5046596332093614e-01,-8.4271514198704781e-02,1.2633064200163094e-01,-1.1327350139893382e-02,1.1098517925797569e-01,7.2524930137203153e-02,2.7639438713677394e-02,2.0930080605251611e-01,-4.0743506116161871e-02,0.0000000000000000e+00,0.0000000000000000e+00
