r,twist_rad,chord,axial,tangential,wu1,wu2,wu3,wu4,wu5,wu6,wu7,wu8,wl1,wl2,wl3,wl4,wl5,wl6,wl7,wl8,leading_edge_weight,dz
1.1983520047236002e+01,-3.4905114197492876e-01,2.1134398868728898e+01,-3.6580431304423628e+00,-1.3186536783870375e+00,3.0455097721411578e-01,2.1126308514622708e-01,4.1986498556735780e-01,3.2579952697287570e-02,8.3078880616030004e-01,-3.6269494135602387e-01,1.1728755652243306e+00,2.6567028098886564e-01,-7.4756441958120617e-02,-3.3419526019929574e-01,1.8011599098085590e-01,-5.2692104692983732e-01,-8.0489031659411181e-02,-5.4091205170151181e-02,-7.0040888087972719e-01,-3.2706468781919401e-01,0.0000000000000000e+00,0.0000000000000000e+00
1.9972101585439859e+01,-3.4023776572296188e-01,2.7960515872265500e+01,-3.2112290838395214e+00,-2.7973907880003450e+00,2.4437848461286688e-01,2.6957543082580798e-01,1.2879162897359409e-01,3.3030570093133943e-01,2.9738736660544379e-01,-2.9745996657739880e-02,7.4203659936976019e-01,9.5330497710293893e-02,-5.6669817128785348e-02,-6.3087116309148747e-02,2.6704771999534270e-02,9.7740710238125666e-02,-4.4409047869513324e-01,5.6832924541530061e-01,-7.1706653475264392e-01,-5.1027244198329682e-03,0.0000000000000000e+00,0.0000000000000000e+00
2.7960683123643719e+01,-3.3577801997061890e-01,3.1716030166320390e+01,-2.8343034143190651e+00,-3.6082436689948212e+00,2.2014473579872243e-01,3.4772463252606078e-01,-1.1512280406290727e-01,7.0416891720086427e-01,-2.6091893160982566e-01,5.1289878240737841e-01,1.8924906751048801e-01,3.0347438092246770e-01,-3.1082649181814234e-02,1.2787115620048056e-01,-6.9080421047518187e-02,3.4418878577009943e-01,-2.9358614061040755e-01,4.9764641550802785e-01,-1.6665565659499074e-01,1.5766062629920533e-01,0.0000000000000000e+00,0.0000000000000000e+00
3.5949264661847579e+01,-3.0038229238689385e-01,2.9712893745512652e+01,-3.3655552469746568e+00,-3.4164091120526932e+00,2.3485066609415758e-01,2.4119769163862984e-01,1.3949018381212480e-01,3.0141760738482842e-01,1.4097132661200809e-01,1.9702069830306027e-01,3.1593583719094787e-01,2.0340077038862064e-01,-3.6487973322496946e-02,1.1344224894134095e-01,-2.6058233260333741e-02,2.5975938981628666e-01,-2.0036229293116206e-01,3.3716259081485545e-01,-2.3387093249570425e-02,7.1958075172613628e-02,0.0000000000000000e+00,0.0000000000000000e+00
4.3937846200051439e+01,-2.7995671121017679e-01,2.6660296908558578e+01,-4.0285938705970450e+00,-2.9387811137241613e+00,1.2269067461675620e-01,3.9690099932767942e-01,-1.9018335859081895e-01,7.0422224103736253e-01,-2.7265460482368603e-01,4.5857995895303610e-01,1.5205569052330503e-01,2.4306523351648762e-01,-1.1811699644012562e-01,1.9614547273185093e-01,-1.9262636989889106e-01,4.1997951748302464e-01,-3.4456862013708905e-01,4.2350411876459992e-01,-8.3320420872066370e-02,1.0889142821285366e-01,0.0000000000000000e+00,0.0000000000000000e+00
5.1926427738255292e+01,-2.5138852340981138e-01,2.4133326489763895e+01,-4.3385292266726632e+00,-2.5335734008893267e+00,2.0070877178212779e-01,2.9555166255344240e-01,-4.8741836521576246e-03,5.4603166171305995e-01,-1.2676950176041377e-01,3.8281350093362226e-01,2.0306674755889970e-01,2.4190647582049851e-01,-6.2425642155754607e-02,1.5269253420122977e-01,-9.9415457863097606e-02,3.4265152467911553e-01,-2.6948623467143651e-01,3.9625037793942447e-01,-6.4926720026680179e-02,1.0994278139069462e-01,0.0000000000000000e+00,0.0000000000000000e+00
5.9915009276459152e+01,-2.3221264308585504e-01,2.1856148309308089e+01,-4.6913772609305697e+00,-2.1552409241972015e+00,1.9209361376669074e-01,2.9389836964763744e-01,2.6638277085755828e-02,4.4326138996457670e-01,-1.9792080321059675e-02,3.2634526050550938e-01,2.0097090220330724e-01,2.7650542070927697e-01,-8.6683654674628158e-02,2.0655230724616128e-01,-2.0797825995433236e-01,4.8519543681956440e-01,-4.0984987945592660e-01,4.9601653154100567e-01,-1.1138329239062747e-01,1.1356876743195203e-01,0.0000000000000000e+00,0.0000000000000000e+00
6.7903590814663005e+01,-2.1335677847251183e-01,1.9843314543102245e+01,-5.0323995174287948e+00,-1.7712207731259624e+00,1.4202680400815090e-01,3.7532639941277046e-01,-1.2098408366477281e-01,6.5430316239718578e-01,-2.5002954393113791e-01,4.9991788983809698e-01,1.2288259373931888e-01,3.1183368485281376e-01,-1.0791932544641043e-01,2.1705914331767151e-01,-2.2345153916088187e-01,4.7492997895076555e-01,-4.0161436091355840e-01,4.8621345925057974e-01,-1.0788653332722262e-01,1.0321638131457356e-01,0.0000000000000000e+00,0.0000000000000000e+00
7.5892172352866879e+01,-1.8484870804105699e-01,1.7998492113907492e+01,-5.2851203379025549e+00,-1.3481525335277498e+00,1.5629247439330032e-01,3.7801186630739442e-01,-9.0251365723860555e-02,5.9123310789080963e-01,-1.8510711145997052e-01,4.6987513407862663e-01,7.6066891078184290e-02,3.7502386507357549e-01,-6.9011396977342473e-02,1.8180091794674141e-01,-1.6255750962520829e-01,4.3305438626147064e-01,-3.5829580974723735e-01,4.7347545184632450e-01,-1.1298328302123263e-01,1.3860005036480652e-01,0.0000000000000000e+00,0.0000000000000000e+00
8.3880753891070725e+01,-1.6462902334766283e-01,1.6253538255188126e+01,-5.5314572044016979e+00,-9.9044679060938323e-01,1.2729794705057115e-01,3.8255301752925941e-01,-7.9663313054413348e-02,5.3114659754066285e-01,-9.3737127650664123e-02,3.4654602561159753e-01,2.1897755118682649e-01,2.8967661583633014e-01,-8.1999445086432241e-02,1.4702572503882655e-01,-6.1947790061292814e-02,2.5596111501444646e-01,-1.7175621419556006e-01,3.4040110868122375e-01,-5.0145363686741155e-02,8.3776909837115041e-02,0.0000000000000000e+00,0.0000000000000000e+00
