# row axial thickness
1 -9.7834838031135352e+00 7.4153830196673649e+00
2 -8.5376924158868110e+00 7.1132268079115901e+00
3 -8.6349453907824518e+00 7.1272845706284418e+00
4 -8.7575077142644986e+00 7.1483164293220760e+00
5 -8.8477327039526603e+00 7.1658111353359626e+00
6 -9.0383057066790187e+00 7.2098087451743611e+00
7 -9.0009935929949201e+00 7.2014847945477181e+00
8 -9.6117068680231803e+00 7.3589146168840038e+00
9 -9.8723900096675461e+00 7.7119011154924504e+00
10 -7.7502734165471443e+00 7.0332735011298837e+00
11 -7.7667062919260070e+00 7.0350461387323566e+00
12 -7.9862099838237119e+00 7.0577178174141482e+00
13 -7.9794183101666798e+00 7.0569518226112145e+00
14 -7.9898978429904499e+00 7.0580758938135064e+00
15 -9.5657760245003960e+00 7.9109705391700968e+00
16 -9.6999154387681070e+00 7.8577073231564034e+00
17 -6.6656969282429195e+00 6.8969007325087093e+00
18 -6.7797600670692173e+00 6.9180995591328722e+00
19 -6.8722878103341225e+00 6.9351893014525015e+00
20 -7.0005585052084598e+00 6.9547824592075003e+00
21 -7.1039356397641304e+00 6.9681017689896247e+00
22 -7.2964622501241436e+00 6.9885807798358588e+00
23 -7.5277652666249208e+00 7.0100897359779859e+00
24 -7.7569066686304859e+00 7.0340366144446431e+00
25 -9.2111851099399491e+00 8.0707284032336251e+00
26 -9.3413256518942323e+00 8.0101401170425373e+00
27 -9.5242293005223679e+00 7.9272991016724355e+00
28 -5.6121592170681662e+00 6.7300364911026689e+00
29 -5.7235457082196231e+00 6.7476396208542848e+00
30 -5.8400224257541407e+00 6.7657411186967549e+00
31 -5.9432637072641130e+00 6.7819424658930050e+00
32 -6.0567343002812022e+00 6.8027669837989864e+00
33 -6.2445849383959171e+00 6.8345742676636574e+00
34 -6.4729026567127876e+00 6.8626249934852899e+00
35 -8.8591722463623785e+00 8.2333398393697852e+00
36 -9.0042384698214839e+00 8.1769068997999828e+00
37 -8.9976148086276844e+00 8.1803051449623183e+00
38 -9.0072548408391722e+00 8.1761032280443935e+00
39 -4.4150374142141331e+00 6.5025281714636014e+00
40 -4.5936766655997907e+00 6.5405807906542375e+00
41 -4.6563079248430057e+00 6.5525753427672289e+00
42 -4.8131675771602787e+00 6.5833584053178749e+00
43 -4.8930714477165278e+00 6.5999588337476442e+00
44 -5.0142943713306289e+00 6.6248846788305213e+00
45 -5.2065063395395930e+00 6.6555671890991368e+00
46 -5.4286926941830149e+00 6.6940884635151505e+00
47 -8.4825486231568128e+00 8.3629962314029296e+00
48 -8.5650433335648497e+00 8.3448509594188494e+00
49 -8.6455443755591652e+00 8.3207907845631635e+00
50 -3.1858149958498911e+00 6.2484327016064913e+00
51 -3.3283683134111066e+00 6.2811977834673289e+00
52 -3.3856137814843463e+00 6.2930172241772402e+00
53 -3.5886926850404213e+00 6.3326526546939075e+00
54 -3.5510489080314644e+00 6.3243406207199104e+00
55 -3.6043394439705869e+00 6.3357777875697607e+00
56 -3.8070410027986967e+00 6.3812289729157348e+00
57 -3.7991811372121700e+00 6.3794564578964765e+00
58 -3.8102906552254652e+00 6.3820568119406937e+00
59 -4.3959137387098783e+00 6.4984139270783041e+00
60 -4.6143071304754288e+00 6.5444075326918441e+00
61 -8.0294019145103785e+00 8.4086920596026982e+00
62 -8.0177458033060613e+00 8.4093220572326572e+00
63 -8.0332306367836477e+00 8.4088988436102809e+00
64 -8.2130187471955001e+00 8.4070708331998052e+00
65 -8.2585268460295858e+00 8.4041640033790372e+00
66 -1.9584558731861554e+00 5.9763684972085818e+00
67 -1.9991208526189135e+00 5.9845225171531427e+00
68 -2.2049564701557021e+00 6.0271933270803402e+00
69 -2.1963286932663939e+00 6.0250359637982953e+00
70 -2.2091348830957527e+00 6.0276748887320819e+00
71 -2.4221515163073222e+00 6.0712279529450157e+00
72 -2.4317811325872793e+00 6.0735101578543222e+00
