# x_over_c y_over_c
1.0000000000000000e+00 0.0000000000000000e+00
9.9993831624083029e-01 1.5998935086349882e-05
9.9975328018286580e-01 6.4018283947022114e-05
9.9944493748098495e-01 1.4412551119726629e-04
9.9901336421413578e-01 2.5643249502314559e-04
9.9845866686656404e-01 4.0109465227111923e-04
9.9778098230154000e-01 5.7830965371780856e-04
9.9698047772758991e-01 7.8831567299593485e-04
9.9605735065723888e-01 1.0313891011407375e-03
9.9501182885827877e-01 1.3078416504786611e-03
9.9384417029756889e-01 1.6180167671147098e-03
9.9255466307738693e-01 1.9622852709592657e-03
9.9114362536434442e-01 2.3410401463186395e-03
9.8961140531088287e-01 2.7546904146475868e-03
9.8795838096937372e-01 3.2036540340695972e-03
9.8618496019883828e-01 3.6883497875080141e-03
9.8429158056431554e-01 4.2091881423717134e-03
9.8227870922889904e-01 4.7665610892142409e-03
9.8014684283847142e-01 5.3608309940007277e-03
9.7789650739916500e-01 5.9923185278405403e-03
9.7552825814757682e-01 6.6612897684449300e-03
9.7304267941377265e-01 7.3679425982495043e-03
9.7044038447711278e-01 8.1123925541648281e-03
9.6772201541493363e-01 8.8946583123264058e-03
9.6488824294412567e-01 9.7146470170627434e-03
9.6193976625564337e-01 1.0572139685687761e-02
9.5887731284199051e-01 1.1466776938807353e-02
9.5570163831772259e-01 1.2398045318871148e-02
9.5241352623300968e-01 1.3365264467067900e-02
9.4901378788030777e-01 1.4367575429865390e-02
9.4550326209418389e-01 1.5403930361199551e-02
9.4188281504434679e-01 1.6473083874349089e-02
9.3815334002193174e-01 1.7573586278903444e-02
9.3431575721909554e-01 1.8703778913125663e-02
9.3037101350197182e-01 1.9861791750801716e-02
9.2632008217704609e-01 2.1045543424886941e-02
9.2216396275100754e-01 2.2252743768620898e-02
9.1790368068413519e-01 2.3480898929132531e-02
9.1354028713728086e-01 2.4727319059879113e-02
9.0907485871251170e-01 2.5989128547644513e-02
9.0450849718747373e-01 2.7263278678430213e-02
8.9984232924354524e-01 2.8546562595619728e-02
8.9507750618784521e-01 2.9835632354524504e-02
8.9021520366916485e-01 3.1127017831046846e-02
8.8525662138789452e-01 3.2417147199902199e-02
